Intensity
0.1500
0.1500
0.1500
0.1400
0.1450
0.1400
0.1350
0.1350
0.1300
0.1300
0.1250
0.1250
0.1200
0.1250
0.1050
0.0950
0.0950
0.0890
0.0890
0.0790
0.0790
0.0740
0.0690
0.0790
0.0690
0.0640
0.0640
0.0590
0.0590
0.0640
0.0540
0.0590
0.0540
0.0540
0.0540
0.0440
0.0490
0.0390
0.0440
0.0340
0.0390
0.0340
0.0340
0.0340
0.0290
0.0290
0.0290
0.0240
0.0240
0.0240
0.0140
0.0190
0.0240
0.0190
0.0190
0.0190
0.0190
0.0190
0.0140
0.0140
0.0140
0.0140
0.0140
0.0090
0.0090
0.0140
0.0140
0.0090
0.0140
0.0140
0.0090
0.0140
0.0090
0.0140
0.0140
0.0140
0.0140
0.0140
0.0090
0.0090
0.0140
0.0140
0.0140
0.0140
0.0140
0.0140
0.0190
0.0240
0.0240
0.0190
0.0240
0.0240
0.0240
0.0290
0.0290
0.0290
0.0290
0.0340
0.0390
0.0440
0.0390
0.0490
0.0540
0.0540
0.0640
0.0790
0.0690
0.0890
0.0840
0.0740
0.0950
0.1100
0.1100
0.1100
0.1300
0.1200
0.1400
0.1750
0.1600
0.2110
0.2010
0.2210
0.2010
0.2260
0.2510
0.2260
0.2720
0.2820
0.2820
0.3020
0.3320
0.3880
0.3730
0.3880
0.4130
0.4390
0.4490
0.4790
0.5450
0.5550
0.5700
0.6710
0.6760
0.6810
0.7220
0.7830
0.8330
0.9550
0.9390
0.9440
1.0050
1.1920
1.1110
1.2080
1.2330
1.1770
1.2680
1.3190
1.3590
1.4500
1.3950
1.3900
1.4400
1.4600
1.5570
1.5770
1.6730
1.7440
1.7080
1.6580
1.7490
1.7340
1.7080
1.7180
1.7080
1.7080
1.6830
1.7390
1.7640
1.7340
1.7340
1.6780
1.6830
1.6320
1.6780
1.6170
1.6020
1.4960
1.5410
1.4710
1.4710
1.4860
1.4200
1.3540
1.3490
1.3540
1.3040
1.3140
1.2280
1.1110
1.1570
1.1670
1.0510
0.9850
1.0360
0.9850
0.8890
0.8580
0.8740
0.8890
0.8940
0.8530
0.7930
0.6920
0.7320
0.7320
0.6660
0.5750
0.5400
0.4940
0.5400
0.5400
0.4740
0.4690
0.4540
0.4030
0.3930
0.3530
0.3880
0.3470
0.3070
0.2670
0.2870
0.2560
0.2510
0.2210
0.2210
0.2160
0.1910
0.1960
0.1960
0.1750
0.1650
0.1650
0.1600
0.1500
0.1400
0.1250
0.1350
0.1200
0.1150
0.1200
0.1100
0.1000
0.0890
0.0840
0.0840
0.0790
0.0790
0.0740
0.0740
0.0740
0.0740
0.0740
0.0690
0.0690
0.0740
0.0740
0.0690
0.0740
0.0740
0.0690
0.0790
0.0740
0.0740
0.0740
0.0790
0.0840
0.0890
0.0890
0.0840
0.1100
0.1050
0.1000
0.1200
0.1300
0.1400
0.1600
0.1550
0.1500
0.1700
0.2060
0.1860
0.2010
0.1960
0.2360
0.2460
0.3120
0.2920
0.3120
0.3630
0.4130
0.3830
0.5140
0.4440
0.4490
0.5300
0.6310
0.5450
0.5950
0.7120
0.8580
0.8740
0.7370
0.8230
1.0360
0.9190
0.9290
1.1420
1.1320
1.1920
1.3800
1.4100
1.6020
1.4810
1.7490
1.6270
1.9010
1.8150
1.9510
1.8850
2.2140
2.0880
2.3810
2.3410
2.6140
2.5130
2.6040
2.6290
2.9580
2.8670
2.8160
2.9280
3.2560
3.1650
3.2460
3.2820
3.7520
3.6970
3.7120
3.7980
3.9700
3.9550
4.0000
3.9240
4.0460
4.0610
4.1370
4.1820
4.2680
4.3090
4.2780
4.2680
4.2630
4.2330
4.2130
4.1010
4.1920
4.2130
3.9390
3.9950
3.9750
3.8690
3.8430
3.7070
3.6310
3.5140
3.6360
3.4990
3.2870
3.2260
3.2210
3.1150
2.9170
2.7560
2.5080
2.6290
2.2700
2.2650
2.2450
2.2400
2.1940
2.0930
2.0470
1.9160
1.9560
1.8850
1.5460
1.5110
1.5460
1.2480
1.3090
1.3340
1.2880
1.2430
1.2330
1.1060
1.1320
0.9600
0.8640
0.8430
0.9550
0.9140
0.8180
0.7170
0.6610
0.7120
0.5750
0.6110
0.6310
0.5450
0.4890
0.4640
0.5750
0.5190
0.4840
0.4540
0.4390
0.4080
0.3220
0.3270
0.2560
0.3020
0.2970
0.2610
0.2060
0.2360
0.2110
0.1910
0.1500
0.1600
0.1400
0.1500
0.1350
0.1350
0.1200
0.1300
0.1300
0.1150
0.0950
0.0950
0.0840
0.0890
0.0950
0.0840
0.0840
0.0840
0.0690
0.0790
0.0690
0.0690
0.0690
0.0690
0.0740
0.0740
0.0740
0.0790
0.0790
0.0790
0.0890
0.0840
0.0890
0.1050
0.0890
0.1150
0.1250
0.1200
0.1400
0.1250
0.1300
0.1400
0.1500
0.1750
0.2010
0.1860
0.1860
0.2160
0.2110
0.2670
0.2770
0.2720
0.2510
0.3170
0.3320
0.2970
0.2970
0.3320
0.3930
0.4130
0.4490
0.4640
0.4540
0.5300
0.5140
0.5450
0.6610
0.6050
0.7570
0.6410
0.6710
0.7830
0.8890
0.7930
0.8580
0.9040
0.9750
1.0000
1.0560
1.1060
1.1770
1.2080
1.1470
1.2530
1.2940
1.2940
1.2730
1.2630
1.4660
1.4250
1.5110
1.4760
1.5010
1.5520
1.6020
1.5870
1.6020
1.5260
1.5820
1.5520
1.5460
1.5870
1.6070
1.6020
1.5870
1.5970
1.5770
1.5670
1.5310
1.5520
1.4960
1.5010
1.4400
1.4250
1.3190
1.3290
1.2380
1.2940
1.2180
1.2180
1.1520
1.2280
1.0960
1.1720
1.0410
1.1320
1.0050
0.9800
0.9750
0.8530
0.8280
0.8580
0.8940
0.8280
0.8280
0.7620
0.6810
0.7120
0.6810
0.6560
0.5550
0.5650
0.5140
0.4890
0.5250
0.4890
0.4690
0.4330
0.4490
0.3780
0.3830
0.3470
0.3630
0.3370
0.2920
0.2870
0.2560
0.2510
0.2510
0.2160
0.2160
0.1860
0.2010
0.1750
0.1750
0.1500
0.1350
0.1500
0.1350
0.1300
0.1150
0.1100
0.1150
0.0950
0.1000
0.0890
0.0840
0.0790
0.0640
0.0690
0.0590
0.0540
0.0590
0.0540
0.0340
0.0440
0.0390
0.0390
0.0340
0.0340
0.0290
0.0290
0.0240
0.0240
0.0240
0.0190
0.0140
0.0190
0.0140
0.0140
0.0140
0.0140
0.0090
0.0090
0.0090
0.0140
0.0090
0.0090
0.0090
0.0030
0.0090
0.0090
0.0030
0.0090
0.0030
0.0090
0.0030
0.0090
0.0030
0.0090
0.0030
0.0090
0.0030
0.0090
0.0140
0.0090
0.0090
0.0090
0.0140
0.0090
0.0140
0.0140
0.0140
0.0140
0.0190
0.0190
0.0190
0.0190
0.0240
0.0190
0.0190
0.0240
0.0240
0.0240
0.0290
0.0290
0.0390
0.0390
0.0440
0.0390
0.0540
0.0540
0.0590
0.0490
0.0640
0.0590
0.0640
0.0690
0.0740
0.0740
